headline,label
"[특징주] 삼성중공업 하락에도, '삼성중공우' 또 홀로 초강세",부정
"[마켓인사이트]국민연금, 남미·아프리카 친환경 에너지 인프라 펀드에 투자",부정확
"코스피, 1%대 하락…외국인·기관 동반 '매도'",부정확
"웹젠, ‘R2M’ 거래소 9월 3일 적용 예고",부정확
"삼성증권, 연금 세미나 유튜브로 진행…10월초까지 4차례",부정확
"김은경 금감원 소보처장 “라임 판매사, 분조위 결정 수용안하면 피해자 소송 적극 지원할 것”",부정
"넥스트아이, 이노메트리 지분 634억 매도…""재무구조 개선""",부정확
코로나19 확진자 사흘만에 300명대…코스피 낙폭 확대,부정확
7월 기업 주식·회사채 19조7755억원... 전월比 1.4%↑,긍정
"미래에셋운용, 일본에 첫 ETF 상장…물류리츠·고배당주 테마",부정확
"골든타임 잡은 두산, 화룡점정은 언제?",부정확
코스피 1% 내려 2340선…외국인 기관 '팔자',부정확
"[마켓인사이트]차백신연구소, 대표주관사 삼성증권 선정...내년 코스닥 입성",부정확
"[마켓인사이트]암 진단 의료기기회사 바이오다인, 코스닥 상장 추진",긍정
제18회 서울국제A&D컨퍼런스 기념촬영,부정확
"[제18회 서울국제A&D컨퍼런스]""코로나19發 언택트 시대..금융 역할 어느 때보다 중요""",부정확
[마켓인사이트]권성훈 퀀타매트릭스 대표 “미생물 진단 분야의 패러다임 바꾸겠다”,부정확
"[마켓인사이트]바이오 업체 네이처셀, 코로나 연구 위해 전환사채 발행",부정확
"[제18회 서울국제A&D컨퍼런스] 징야핑 원장 ""빅데이터는 미래의 석유이자 전략 자원""",부정확
"[특징주] 쌍방울, 유상증자 일반공모 효과 꺾였나… 장중 9% 하락",부정
[마켓인사이트]엠플러스. 콜옵션 행사 대비해 100억 규모 CB 발행,부정확
"[특징주]GH신소재, 단일가매매 해제되자 ‘上’",긍정
"[TF시황] 아시아나항공, 인수합병 기대감에 '강세'",긍정
[마켓인사이트]현대건설 회사채에 4배 수요 몰려,부정확
"다들 싸다는 카카오게임즈..""무조건 풀베팅"" 호평 일색",긍정
제18회 서울국제A&D컨퍼런,부정확
"코스콤, HSBC 펀드서비스 인수..자산운용IT 신사업 진출",긍정
제18회 서울국제A&D컨퍼런스 윤석헌 금융감독원 원장,부정확
"[제18회 서울국제A&D컨퍼런스]국민연금 ""바이오헬스케어·IT산업 언택트 수혜..관련 대체투자 강화“",긍정
[마켓인사이트]기업들 지난달 신주발행은 늘고 회사채는 크게 줄어,부정확
[특징주] 홍정욱 전 의원 정계 복귀하나…관련주 급등,긍정
"증권금융, 20년 만에 유상증자 추진",긍정
[시그널] 청약만 되면 최소 수익률 33%? ··· 하반기 IPO 대어 카카오게임즈 공모 돌입,부정확
"[올댓차이나] 앤트 파이낸셜, 홍콩·상하이 동시 이중상장 신청",부정확
"[fn종목 돋보기] 코오롱글로벌, 국립중앙의료원에 대규모 음압병동 설립 ""지난주 착공..수요 급증에 적극 대응""",부정확
"[특징주] 동진쎄미켐, 지소미아 유지… 종료 해석 놓고 한·일 이견 '강세'",긍정
[동학개미 트렌드] 개미는 인버스보다 '2차전지' 홀릭,긍정
"[itM] 카카오, 사상 최고가 경신…40만원 코앞",긍정
"DS투자증권 “푸드나무, 언택트 수혜 랭킹닭컴 급성장…목표가↑”",긍정
"[특징주]유나이티드제약, 강세…코로나19 흡입치료제 연구결과 발표",긍정
"[특징주]아시아나항공·HDC현산, 인수 최종담판 앞두고 상승세",긍정
"베스파, ‘킹스레이드’ 10챕터 ‘리벨리온’ 적용",부정확
"삼성증권, 언택트 연금 세미나 진행",부정확
"삼성證, 언택트 연금 세미나 진행",부정확
"에스제이케이, 136억 규모 일반3중 부직포 덴탈형 마스크 공급계약",부정확
"시진핑 부활?트럼프 굴욕?아베 몰락… 100억 富의 추월차선, 中 주식으로 이동? [한상춘의 지금 세계는]",부정확
"[특징주] 아시아나·HDC현산, 인수 최종 담판 앞두고 강세",긍정
[동학개미 트렌드]美바이오 꽂힌 개미…스벅보다 소렌토 더 샀다,긍정
"LG전자, 가전제품 서비스 온라인 콘텐츠 강화",부정확
"글로벌X 재팬, 일본 물류 리츠·고배당주 ETF 2종 현지 상장",부정확
"외국인, 3일간 삼성전자·SK하이닉스 1800억원 담았다",부정확
"[충남소식] 천안시 금고, 농협·하나은행 선정",부정확
"[특징주] 한올바이오파마, 美협력사 항체신약 임상2상 성공에 3%↑",긍정
"필로시스헬스케어, 6연속 上..어디까지 갈까",긍정
"코스피, 개인 매수에 2,370선 안착",부정확
"[특징주] 아시아나항공, 산은-HDC현산 최종 담판 소식에 강세",긍정
"'kg당 1억원' 코로나 진단용 필수 효소, 국산화 성공",긍정
"에치에프알, 저점지나 이젠 사야할 때…목표가↑-한화",긍정
"[특징주] 아시아나항공, '매각 기대감'에 상승세",긍정
"셀트리온, 코로나19 경증 환자 대상 항체치료제 후보 임상 1상 추가 승인받아",긍정
"[특징주] 이노메트리, 사모펀드에 매각 소식에 넥스트아이와 동반 상승",부정확
같은 집안 다른 결과…장남 뛰어넘은 한진·금호家 4남오너들,부정확
"""장마·폭염도 끄떡없죠""…억대 수익 버는 청년 농부의 비결은",부정확
[itM-개장시황] 코스피 소폭 상승 출발…장중 2370선 터치,부정확
"코스닥, 나흘째 상승..7거래일만에 840선 회복",부정확
같은집안 다른결과...장남 뛰어넘은 한진·금호家 4남오너들,부정확
`공매도 금지` 추가 연장..오늘 금융위 정례회의서 결론날까,부정확
"[특징주]제노포커스, 코로나19 진단용 효소 국산화 성공에 상한가",긍정
달러-엔 106.540엔(09시09분 현재),부정확
"교보證 ""아이에스동서, 주가 기대보다 더 오를 것""",긍정
"[이슈타임]'공매도 금지' 6개월 연장 가능성, 가닥 잡혔나",부정확
"[특징주]넥스트아이, 자회사 이노메트리 매각 소식에 ‘강세’",긍정
"[특징주] 넥스트아이, 자회사 매각 소식에 '강세'",긍정
